This file was created by CMPT_ME_PRIOR_RETS using the 202403 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month - 1 to - 1.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

          ST_Rev
195403   0.14
195404  -1.41
195405   2.55
195406   1.93
195407   1.20
195408   2.07
195409  -0.37
195410   0.36
195411  -0.56
195412  -0.15
195501   1.77
195502   1.70
195503   1.25
195504   1.28
195505   0.05
195506  -0.80
195507  -1.44
195508   2.52
195509   2.54
195510   0.06
195511   3.64
195512  -0.16
195601   1.03
195602   2.92
195603  -2.42
195604  -1.50
195605   1.93
195606   0.80
195607  -1.14
195608   2.07
195609  -1.38
195610   0.50
195611  -1.47
195612   0.05
195701   3.62
195702  -0.16
195703   1.07
195704  -0.59
195705   0.20
195706  -0.82
195707   0.56
195708   0.33
195709  -4.06
195710  -3.50
195711  -0.15
195712  -1.20
195801   5.48
195802   1.76
195803   1.15
195804  -0.42
195805   1.19
195806   1.95
195807   2.80
195808   1.72
195809   2.56
195810   1.35
195811   0.70
195812   1.90
195901   1.11
195902   0.57
195903   0.41
195904   0.06
195905  -0.75
195906   0.93
195907  -0.13
195908  -0.51
195909  -0.11
195910   1.17
195911  -1.70
195912   1.42
196001   3.71
196002  -0.52
196003  -0.77
196004  -2.29
196005  -3.54
196006   1.12
196007   1.07
196008  -1.37
196009  -0.04
196010  -2.13
196011   1.05
196012   0.78
196101   1.17
196102   1.32
196103   1.50
196104   1.93
196105   3.51
196106   1.32
196107   1.43
196108   1.13
196109  -1.65
196110  -1.40
196111  -0.47
196112   1.15
196201   0.94
196202   0.86
196203   0.71
196204  -0.82
196205  -0.18
196206  -2.82
196207   3.53
196208  -0.12
196209   2.42
196210  -2.07
196211   5.30
196212   5.02
196301   4.56
196302   1.54
196303   1.42
196304  -0.93
196305   0.14
196306   1.81
196307  -0.08
196308   1.30
196309   1.19
196310  -0.66
196311   1.12
196312   0.27
196401  -0.16
196402   0.19
196403   0.23
196404   3.45
196405  -1.22
196406   0.48
196407   1.82
196408  -1.11
196409   1.25
196410   1.11
196411  -0.68
196412   0.85
196501   2.95
196502  -0.51
196503   1.39
196504   0.40
196505   0.21
196506   0.39
196507   2.58
196508  -1.40
196509  -1.37
196510  -1.27
196511  -2.42
196512   2.82
196601   0.51
196602  -2.73
196603  -0.32
196604  -0.87
196605   3.48
196606   2.56
196607   1.25
196608   0.30
196609   1.04
196610  -1.53
196611   9.04
196612   0.28
196701   3.53
196702   1.30
196703   1.83
196704   0.56
196705   1.81
196706  -1.09
196707   0.21
196708   0.67
196709  -0.64
196710  -2.38
196711   0.20
196712  -0.04
196801   3.96
196802  -0.87
196803   1.54
196804  -0.74
196805  -1.96
196806   3.74
196807  -1.33
196808   0.71
196809  -0.15
196810   1.34
196811   3.29
196812   2.39
196901   2.52
196902   2.39
196903   0.29
196904  -0.96
196905   1.44
196906  -0.11
196907  -1.61
196908   3.28
196909   0.63
196910  -0.48
196911   1.04
196912  -2.86
197001  -0.26
197002   2.82
197003   0.63
197004  -4.54
197005  -3.16
197006  -0.10
197007   3.97
197008   1.52
197009   0.57
197010   6.79
197011  -0.52
197012   2.37
197101   1.88
197102   1.76
197103   0.10
197104   0.92
197105   0.53
197106  -0.99
197107   1.37
197108   5.57
197109   0.29
197110  -1.25
197111  -0.82
197112   3.65
197201  -0.58
197202  -0.10
197203   1.46
197204   0.13
197205  -0.93
197206  -1.74
197207  -2.32
197208   0.70
197209   1.48
197210  -0.93
197211   3.28
197212   3.89
197301  -1.37
197302  -2.20
197303   0.43
197304  -0.68
197305  -1.11
197306   0.11
197307   9.47
197308   1.71
197309   1.65
197310   1.82
197311  -4.67
197312   0.39
197401   9.23
197402   0.73
197403   4.12
197404  -1.39
197405  -2.72
197406  -0.95
197407   0.85
197408   2.04
197409   3.26
197410   8.72
197411  -0.30
197412  -0.38
197501  14.57
197502   4.55
197503   3.50
197504  -0.46
197505   3.76
197506   3.29
197507   1.21
197508   0.64
197509  -0.31
197510   1.56
197511  -2.52
197512   3.26
197601   2.84
197602  -2.48
197603   4.43
197604   2.13
197605  -0.77
197606   0.63
197607   1.68
197608  -2.04
197609  -0.32
197610   1.14
197611   0.54
197612   3.64
197701   0.54
197702   1.38
197703   1.03
197704  -1.22
197705  -0.32
197706   0.09
197707   1.03
197708  -0.71
197709   0.83
197710   1.76
197711   2.22
197712  -0.13
197801   1.07
197802   1.17
197803  -0.27
197804   0.22
197805   0.08
197806   1.35
197807   0.91
197808   0.87
197809   3.65
197810  -1.84
197811   9.15
197812  -0.39
197901   5.62
197902   1.31
197903   1.47
197904  -0.40
197905   1.17
197906   1.19
197907   0.60
197908   0.79
197909  -1.63
197910  -1.94
197911   1.31
197912  -1.89
198001  -3.41
198002  -4.91
198003   8.46
198004   1.40
198005   2.84
198006   2.24
198007   2.95
198008  -0.84
198009  -1.52
198010  -1.96
198011  -9.71
198012   6.38
198101  -2.29
198102  -2.33
198103   1.59
198104  -1.50
198105  -3.78
198106   4.78
198107  -0.56
198108  -0.65
198109  -1.11
198110   4.55
198111   2.67
198112   1.66
198201  -1.37
198202  -4.31
198203  -1.89
198204   1.65
198205   1.99
198206   0.15
198207  -2.88
198208   1.14
198209   4.52
198210   2.97
198211  -4.48
198212   3.80
198301   3.18
198302   2.63
198303   0.34
198304  -0.55
198305   2.73
198306   0.18
198307   2.04
198308  -0.81
198309   2.36
198310  -1.63
198311   4.94
198312   1.97
198401   0.64
198402  -2.06
198403   2.51
198404   1.61
198405   0.81
198406   0.96
198407  -1.45
198408   7.29
198409   4.28
198410  -1.21
198411  -0.67
198412   0.80
198501   2.32
198502   2.50
198503  -1.37
198504  -2.46
198505  -0.54
198506  -0.67
198507   3.62
198508   1.77
198509  -1.85
198510   0.66
198511   2.41
198512  -0.34
198601   0.84
198602  -1.69
198603  -0.07
198604   2.82
198605   1.05
198606  -2.48
198607  -2.86
198608   1.14
198609  -0.31
198610   3.58
198611   0.71
198612   0.61
198701   0.31
198702  -1.11
198703   1.81
198704  -1.90
198705  -0.30
198706   0.01
198707  -0.22
198708   2.45
198709  -0.40
198710  -0.13
198711  -0.87
198712   5.80
198801   7.91
198802   4.36
198803  -0.84
198804   0.23
198805   0.65
198806   1.87
198807   3.36
198808  -1.93
198809  -0.12
198810  -1.00
198811  -0.67
198812   2.29
198901   0.97
198902   1.07
198903  -0.89
198904  -0.65
198905  -2.74
198906   2.30
198907   1.43
198908   1.85
198909   1.17
198910  -4.32
198911  -1.75
198912  -2.56
199001   1.02
199002   0.49
199003   0.17
199004  -1.82
199005  -0.35
199006  -0.22
199007  -0.68
199008  -3.65
199009  -5.98
199010  -2.68
199011   5.85
199012  -3.01
199101  -1.93
199102   1.93
199103   0.52
199104   1.57
199105   0.08
199106   2.06
199107   2.13
199108  -2.92
199109  -0.76
199110  -1.18
199111  -0.40
199112   1.06
199201   5.22
199202  -2.90
199203  -1.09
199204  -3.38
199205  -0.16
199206   0.91
199207   2.12
199208  -1.56
199209  -1.12
199210  -0.20
199211  -1.04
199212   1.23
199301  -0.45
199302  -1.49
199303  -0.95
199304  -1.71
199305   1.49
199306   2.24
199307  -2.69
199308   1.28
199309   0.69
199310   1.90
199311  -1.39
199312   1.07
199401   1.69
199402   0.36
199403   0.09
199404  -0.38
199405   0.06
199406   0.15
199407   1.44
199408   1.44
199409  -0.77
199410  -0.22
199411  -2.01
199412   0.81
199501   4.00
199502   2.39
199503  -0.04
199504  -0.52
199505  -0.46
199506   1.23
199507  -2.12
199508   1.28
199509  -0.89
199510  -1.02
199511   0.60
199512  -0.98
199601   1.00
199602   2.17
199603  -0.11
199604   0.69
199605  -1.07
199606  -0.18
199607  -2.44
199608   2.55
199609   0.54
199610  -1.12
199611   0.21
199612   0.64
199701   2.62
199702   1.25
199703   0.88
199704   2.43
199705   2.87
199706   0.73
199707   3.87
199708  -0.16
199709   1.70
199710  -0.96
199711  -2.01
199712  -2.91
199801   5.02
199802   1.92
199803   1.84
199804   1.70
199805   0.74
199806  -1.44
199807  -2.02
199808  -2.66
199809   2.75
199810   9.85
199811   1.32
199812  -1.63
199901  -2.32
199902   2.46
199903   0.21
199904   2.37
199905   1.21
199906   1.70
199907   1.54
199908  -3.39
199909  -0.61
199910  -1.49
199911   0.43
199912 -14.01
200001   2.61
200002 -13.47
200003   9.89
200004  -2.18
200005  -8.89
200006  12.39
200007   6.51
200008   0.54
200009   2.64
200010  -4.80
200011 -14.63
200012  -6.88
200101  16.21
200102  12.19
200103  -7.54
200104   9.87
200105   3.80
200106   0.60
200107   1.38
200108  -3.90
200109  -4.96
200110  14.84
200111  -3.13
200112   1.68
200201   2.13
200202   0.05
200203   2.75
200204   2.11
200205  -2.68
200206  -3.58
200207   1.28
200208   1.52
200209  -1.77
200210   7.39
200211   0.18
200212  10.74
200301   0.28
200302  -0.69
200303   0.03
200304   3.00
200305  -1.52
200306  -0.11
200307   2.49
200308  -1.50
200309   4.62
200310   2.17
200311  -1.57
200312   1.84
200401   2.32
200402   1.55
200403  -2.16
200404  -0.20
200405   2.28
200406   0.32
200407  -1.41
200408  -2.39
200409   3.10
200410   0.25
200411   1.53
200412   0.94
200501   1.46
200502  -2.45
200503   0.09
200504  -1.84
200505   3.17
200506   0.03
200507  -0.17
200508  -1.37
200509  -3.69
200510   1.61
200511   0.10
200512   2.04
200601  -1.00
200602   3.39
200603  -0.08
200604  -0.33
200605  -0.04
200606  -0.57
200607   0.22
200608   1.77
200609   0.76
200610  -0.26
200611  -0.91
200612   2.41
200701   1.09
200702   0.18
200703  -2.05
200704  -0.31
200705  -0.99
200706  -0.65
200707  -3.59
200708  -2.61
200709   0.36
200710  -3.96
200711  -1.69
200712  -2.05
200801   6.93
200802   5.05
200803  -0.37
200804   3.13
200805  -2.28
200806  -7.09
200807   7.94
200808  -0.51
200809  -3.75
200810  -9.37
200811  -9.99
200812   5.46
200901   0.18
200902  -7.01
200903   3.04
200904  -6.52
200905  -2.71
200906   4.80
200907   4.43
200908  -2.08
200909   1.12
200910   2.14
200911   0.45
200912   1.47
201001   3.64
201002   1.63
201003   0.80
201004  -1.86
201005   0.52
201006  -4.87
201007   4.11
201008   1.00
201009   3.29
201010  -1.34
201011  -0.95
201012   2.27
201101  -0.09
201102  -0.69
