"","x"
"398","TSLA"
"399","TXN"
"400","TXT"
"401","TMO"
"402","TJX"
"403","TSCO"
"404","TT"
"405","TDG"
"406","TRV"
"407","TRMB"
"408","TFC"
"409","TYL"
"410","TSN"
"411","USB"
"412","UDR"
"413","ULTA"
"414","UNP"
"415","UAL"
"416","UPS"
"417","URI"
"418","UNH"
"419","UHS"
"420","VLO"
"421","VTR"
"422","VRSN"
"423","VRSK"
"424","VZ"
"425","VRTX"
"426","VFC"
"427","VTRS"
"428","V"
"429","VMC"
"430","WRB"
"431","WAB"
"432","WBA"
"433","WMT"
"434","DIS"
"435","WBD"
"436","WM"
"437","WAT"
"438","WEC"
"439","WFC"
"440","WELL"
"441","WST"
"442","WDC"
"443","WY"
"444","WMB"
"445","WTW"
"446","GWW"
"447","WYNN"
"448","XEL"
"449","XYL"
"450","YUM"
"451","ZBRA"
"452","ZBH"
